hu_site_limit,point_granularity,point_longitude,fl_site_deductible,hu_site_deductible,point_latitude,fl_site_limit,county,construction,tiv_2011,policyID,fr_site_deductible,tiv_2012,eq_site_deductible,line,fr_site_limit,eq_site_limit,statecode
72837,1,-82.916763,0,0,29.963396,72837,SUWANNEE COUNTY,Wood,72837,198760,0,86637.86,0,Residential,72837,72837,FL
72837,1,-82.916763,0,0,29.963396,72837,SUWANNEE COUNTY,Wood,72837,831395,0,98147.86,0,Residential,72837,72837,FL
19440,1,-82.916763,0,388.8,29.963396,19440,SUWANNEE COUNTY,Wood,19440,305698,0,30658.59,0,Residential,19440,19440,FL
9945,1,-82.916763,0,198.9,29.963396,9945,SUWANNEE COUNTY,Wood,9945,515722,0,11551.12,0,Residential,9945,9945,FL
255878.61,3,-82.92394,0,0,29.958415,0,SUWANNEE COUNTY,Wood,255878.61,415582,0,345894.66,0,Residential,0,0,FL
153527.17,4,-82.92767,0,0,29.9696,0,SUWANNEE COUNTY,Wood,153527.17,783533,0,138228.8,0,Residential,0,0,FL
255878.61,1,-82.927582,0,0,29.959404,0,SUWANNEE COUNTY,Wood,255878.61,640802,0,177339.74,0,Residential,0,0,FL
102351.45,3,-82.922729,0,0,29.958904,0,SUWANNEE COUNTY,Wood,102351.45,403866,0,95132.8,0,Residential,0,0,FL
155489.66,1,-82.922424,0,0,29.95822,0,SUWANNEE COUNTY,Wood,155489.66,828788,0,145139.65,0,Residential,0,0,FL
137233.8,4,-82.933777,0,0,29.965832,0,SUWANNEE COUNTY,Wood,137233.8,751490,0,114919.58,0,Residential,0,0,FL
123596.05,4,-82.933777,0,0,29.965721,0,SUWANNEE COUNTY,Wood,123596.05,972562,0,183015.09,0,Residential,0,0,FL
107111.11,4,-82.933777,0,0,29.965717,0,SUWANNEE COUNTY,Wood,107111.11,367541,0,88218.85,0,Residential,0,0,FL
96309.32,3,-82.923635,0,0,29.95775,0,SUWANNEE COUNTY,Wood,96309.32,481360,0,85911,0,Residential,0,0,FL
104031.7,1,-81.93397,0,0,30.39431,0,NASSAU COUNTY,Wood,104031.7,920232,0,168443.97,0,Residential,0,0,FL
338944.5,1,-81.830429,0,0,30.56267,338944.5,NASSAU COUNTY,Wood,338944.5,727659,0,485816.61,0,Residential,338944.5,338944.5,FL
272349,1,-81.830429,0,0,30.56267,272349,NASSAU COUNTY,Wood,272349,471817,0,414565.56,0,Residential,272349,272349,FL
129690,1,-81.830193,0,0,30.561651,129690,NASSAU COUNTY,Wood,129690,983043,0,129635.53,0,Residential,129690,129690,FL
123210,1,-81.830429,0,0,30.56267,123210,NASSAU COUNTY,Wood,123210,578286,0,120345.61,0,Residential,123210,123210,FL
3698.64,3,-81.82632,0,0,30.56106,0,NASSAU COUNTY,Wood,3698.64,347276,0,3939.13,0,Residential,0,0,FL
2115760.5,4,-81.8249,0,0,30.5579,0,NASSAU COUNTY,Reinforced Masonry,2115760.5,477786,0,3057739.39,0,Commercial,0,2115760.5,FL
93548.58,3,-81.82632,0,0,30.56106,0,NASSAU COUNTY,Wood,93548.58,265907,0,118401.07,0,Residential,0,0,FL
1037311.14,3,-81.82632,0,0,30.56106,0,NASSAU COUNTY,Masonry,1037311.14,107560,0,1487255.23,0,Residential,0,0,FL
15463.3,3,-81.82383,0,0,30.57185,0,NASSAU COUNTY,Wood,15463.3,908183,0,11825.56,0,Residential,0,0,FL
13893.35,3,-81.826525,0,0,30.562835,0,NASSAU COUNTY,Wood,13893.35,356024,0,13988.5,0,Residential,0,0,FL
316618.23,1,-81.826584,0,0,30.567566,0,NASSAU COUNTY,Wood,316618.23,575299,0,230328.99,0,Residential,0,0,FL
54834.66,3,-81.83645,0,0,30.60895,0,NASSAU COUNTY,Wood,54834.66,790478,0,63053.72,0,Residential,0,0,FL
295269.11,1,-81.81973,0,0,30.59925,0,NASSAU COUNTY,Wood,295269.11,801776,0,488965.65,0,Residential,0,0,FL
723734.17,3,-81.77496,0,0,30.53674,0,NASSAU COUNTY,Masonry,723734.17,291781,0,955908.09,0,Residential,0,0,FL
1741572,1,-81.825684,0,0,30.555161,0,NASSAU COUNTY,Masonry,1741572,537286,0,1455184.42,0,Residential,1741572,0,FL
135450,4,-82.66227,0,0,30.105968,135450,COLUMBIA COUNTY,Wood,135450,289305,0,164978.1,0,Residential,135450,135450,FL
60300,1,-82.7094,0,0,30.1018,60300,COLUMBIA COUNTY,Wood,60300,697409,0,77678.46,0,Residential,60300,60300,FL
22500,4,-82.7094,0,0,30.1018,22500,COLUMBIA COUNTY,Wood,22500,633944,0,19501.76,0,Residential,22500,22500,FL
34212.42,4,-82.7094,0,0,30.1018,0,COLUMBIA COUNTY,Wood,34212.42,963511,0,33250.37,0,Residential,0,0,FL
460128.2,1,-82.73404,0,0,30.1653,0,COLUMBIA COUNTY,Masonry,460128.2,729649,0,626142.46,0,Residential,0,0,FL
32169.69,4,-82.7094,0,0,30.1018,0,COLUMBIA COUNTY,Wood,32169.69,862584,0,37291.11,0,Residential,0,0,FL
50550.75,4,-82.57017,0,0,30.17399,0,COLUMBIA COUNTY,Wood,50550.75,371891,0,49526.38,0,Residential,0,0,FL
42300,3,-82.6126,0,0,30.1515,42300,COLUMBIA COUNTY,Wood,42300,785595,0,53762.62,0,Residential,42300,42300,FL
10171.26,4,-82.64,0,0,30.16269,0,COLUMBIA COUNTY,Wood,10171.26,567696,0,16798.29,0,Residential,0,0,FL
155342.88,4,-82.64,0,0,30.16269,0,COLUMBIA COUNTY,Wood,155342.88,219025,0,176189.89,0,Residential,0,0,FL
3698.64,4,-82.64,0,0,30.16269,0,COLUMBIA COUNTY,Wood,3698.64,447216,0,4424.48,0,Residential,0,0,FL
4623.3,4,-82.64,0,0,30.16269,0,COLUMBIA COUNTY,Wood,4623.3,305141,0,4525.86,0,Residential,4623.3,0,FL
33287.76,4,-82.64,0,0,30.16269,0,COLUMBIA COUNTY,Wood,33287.76,625575,0,27375.62,0,Residential,0,0,FL
21267.18,1,-82.640976,0,0,30.163641,0,COLUMBIA COUNTY,Wood,21267.18,262109,0,24840.49,0,Residential,0,0,FL
729556.74,1,-82.640976,0,0,30.163641,0,COLUMBIA COUNTY,Masonry,729556.74,228457,0,889825.76,0,Residential,0,0,FL
350446.14,1,-82.640976,0,0,30.163641,0,COLUMBIA COUNTY,Wood,350446.14,622799,0,438049.26,0,Residential,0,0,FL
2135964.6,1,-82.640976,0,0,30.163641,0,COLUMBIA COUNTY,Reinforced Masonry,2135964.6,233271,0,1728721.59,0,Commercial,2135964.6,0,FL
4623.3,1,-82.640976,0,0,30.163641,0,COLUMBIA COUNTY,Wood,4623.3,932950,0,4782.1,0,Residential,4623.3,0,FL
2469639.6,4,-82.6126,0,0,30.1515,0,COLUMBIA COUNTY,Reinforced Masonry,2469639.6,641952,0,2708463.63,0,Commercial,2469639.6,0,FL
914073.3,4,-82.6126,0,0,30.1515,0,COLUMBIA COUNTY,Masonry,914073.3,796260,0,1296439.3,0,Residential,914073.3,0,FL
3042940.5,4,-82.6126,0,0,30.1515,0,COLUMBIA COUNTY,Reinforced Masonry,3042940.5,301822,0,3181868.99,0,Commercial,3042940.5,0,FL
234997.65,4,-82.6126,0,0,30.1515,0,COLUMBIA COUNTY,Wood,234997.65,559927,0,255975.89,0,Residential,0,0,FL
912600,4,-82.6126,0,0,30.1515,0,COLUMBIA COUNTY,Masonry,912600,224400,0,1147247.71,0,Residential,912600,0,FL
1920744.9,4,-82.6126,0,0,30.1515,0,COLUMBIA COUNTY,Reinforced Masonry,1920744.9,123936,0,2837762.3,0,Commercial,1920744.9,0,FL
455754.6,4,-82.6126,0,0,30.1515,0,COLUMBIA COUNTY,Masonry,455754.6,333818,0,696809.59,0,Residential,455754.6,0,FL
1552693.95,4,-82.6126,0,0,30.1515,0,COLUMBIA COUNTY,Masonry,1552693.95,254323,0,1552594.58,0,Residential,0,0,FL
8910,4,-82.6126,0,0,30.1515,0,COLUMBIA COUNTY,Wood,8910,247444,0,13521.83,0,Residential,8910,0,FL
398968.2,4,-82.6126,0,0,30.1515,0,COLUMBIA COUNTY,Masonry,398968.2,882598,0,424087.24,0,Residential,398968.2,0,FL
4500,4,-82.6126,0,0,30.1515,0,COLUMBIA COUNTY,Wood,4500,386918,0,4238.41,0,Residential,4500,0,FL
31071.6,4,-82.6126,0,0,30.1515,0,COLUMBIA COUNTY,Wood,31071.6,497337,0,57802.5,0,Residential,31071.6,0,FL
4956125.85,4,-82.6126,0,0,30.1515,0,COLUMBIA COUNTY,Reinforced Masonry,4956125.85,526844,0,7279557.65,0,Commercial,0,0,FL
40500,4,-82.6126,0,0,30.1515,0,COLUMBIA COUNTY,Wood,40500,623400,0,34160.94,0,Residential,40500,0,FL
135868.99,1,-82.614795,0,0,30.185885,0,COLUMBIA COUNTY,Wood,135868.99,826170,0,234280.26,0,Residential,0,0,FL
36784.23,1,-82.614795,0,0,30.185885,0,COLUMBIA COUNTY,Wood,36784.23,185483,0,58447.64,0,Residential,0,0,FL
1086940.9,1,-82.614795,0,0,30.185885,0,COLUMBIA COUNTY,Masonry,1086940.9,920003,0,1770235.43,0,Residential,0,0,FL
16767.17,1,-82.63503,0,0,30.16649,0,COLUMBIA COUNTY,Wood,16767.17,274246,0,17228.6,0,Residential,0,0,FL
1404900,1,-82.65581,0,42147,30.176,0,COLUMBIA COUNTY,Masonry,1404900,423636,0,1840643.78,0,Residential,1404900,0,FL
4696520.5,3,-82.59694,450000,0,30.00777,0,COLUMBIA COUNTY,Reinforced Masonry,4696520.5,970906,0,6342697.9,0,Commercial,0,0,FL
67892.48,1,-82.66252,0,0,30.17509,0,COLUMBIA COUNTY,Wood,67892.48,227898,0,86628.09,0,Residential,0,0,FL
86056.32,1,-82.66205,0,0,30.17501,0,COLUMBIA COUNTY,Wood,86056.32,525138,0,125938.17,0,Residential,0,0,FL
67892.48,1,-82.662277,0,0,30.174776,0,COLUMBIA COUNTY,Wood,67892.48,923627,0,64169.8,0,Residential,0,0,FL
67892.48,1,-82.66251,0,0,30.17476,0,COLUMBIA COUNTY,Wood,67892.48,619743,0,80898.23,0,Residential,0,0,FL
86056.32,1,-82.66205,0,0,30.1745,0,COLUMBIA COUNTY,Wood,86056.32,910727,0,91244.65,0,Residential,0,0,FL
67892.48,1,-82.66251,0,0,30.17447,0,COLUMBIA COUNTY,Wood,67892.48,363647,0,92333.77,0,Residential,0,0,FL
101009.36,1,-82.66218,0,0,30.17417,0,COLUMBIA COUNTY,Wood,101009.36,512519,0,98181.1,0,Residential,0,0,FL
67892.48,1,-82.66351,0,0,30.17451,0,COLUMBIA COUNTY,Wood,67892.48,904304,0,66272.56,0,Residential,0,0,FL
67892.48,1,-82.66314,0,0,30.17475,0,COLUMBIA COUNTY,Wood,67892.48,835349,0,99945.87,0,Residential,0,0,FL
86056.32,1,-82.66341,0,0,30.17514,0,COLUMBIA COUNTY,Wood,86056.32,891725,0,139415.11,0,Residential,0,0,FL
86056.32,1,-82.66348,0,0,30.17474,0,COLUMBIA COUNTY,Wood,86056.32,923503,0,106664.4,0,Residential,0,0,FL
132603.34,3,-82.66314,0,0,30.17664,0,COLUMBIA COUNTY,Wood,132603.34,292347,0,115117.07,0,Residential,0,0,FL
132603.34,3,-82.66314,0,0,30.17638,0,COLUMBIA COUNTY,Wood,132603.34,363828,0,216561.94,0,Residential,0,0,FL
91764.15,3,-82.66406,0,0,30.17623,0,COLUMBIA COUNTY,Wood,91764.15,110490,0,70364.02,0,Residential,0,0,FL
457854.5,4,-82.67019,0,0,30.17698,0,COLUMBIA COUNTY,Masonry,457854.5,480733,0,345588.57,0,Residential,0,0,FL
385480.82,4,-82.671326,0,0,30.174486,0,COLUMBIA COUNTY,Masonry,385480.82,993346,0,558330.42,0,Residential,0,0,FL
213596.46,4,-81.4271,0,0,29.7917,0,ST  JOHNS COUNTY,Wood,213596.46,934992,0,190329.82,0,Residential,0,0,FL
1051338.42,4,-81.4271,0,0,29.7917,0,ST  JOHNS COUNTY,Masonry,1051338.42,645841,0,1069841.98,0,Residential,0,0,FL
6472.62,4,-81.4271,0,0,29.7917,0,ST  JOHNS COUNTY,Wood,6472.62,747846,0,9957.87,0,Residential,0,0,FL
159041.52,1,-81.47171,0,0,29.776566,0,ST  JOHNS COUNTY,Wood,159041.52,482457,0,249984.64,0,Residential,0,0,FL
12945.24,1,-81.47171,0,0,29.776566,0,ST  JOHNS COUNTY,Wood,12945.24,574787,0,19024.97,0,Residential,0,0,FL
29589.12,1,-81.47171,0,0,29.776566,0,ST  JOHNS COUNTY,Wood,29589.12,831418,0,35207.53,0,Residential,0,0,FL
12945.24,1,-81.47171,0,0,29.776566,0,ST  JOHNS COUNTY,Wood,12945.24,968562,0,16859.05,0,Residential,0,0,FL
29061,1,-81.466309,0,0,29.7255,29061,ST  JOHNS COUNTY,Wood,29061,576324,0,40749.33,0,Residential,29061,29061,FL
48087,1,-81.466309,0,0,29.7255,48087,ST  JOHNS COUNTY,Wood,48087,290435,0,68008.1,0,Residential,48087,48087,FL
128628,1,-81.466309,0,0,29.7255,128628,ST  JOHNS COUNTY,Wood,128628,526086,0,133425.18,0,Residential,128628,128628,FL
128628,1,-81.466309,0,0,29.7255,128628,ST  JOHNS COUNTY,Wood,128628,119823,0,168246.71,0,Residential,128628,128628,FL
128628,1,-81.466309,0,0,29.7255,128628,ST  JOHNS COUNTY,Wood,128628,497414,0,176279.14,0,Residential,128628,128628,FL
4968,1,-81.466309,0,0,29.7255,4968,ST  JOHNS COUNTY,Wood,4968,340883,0,5265.92,0,Residential,4968,4968,FL
157005,1,-81.466309,0,3140.1,29.7255,157005,ST  JOHNS COUNTY,Wood,157005,892551,0,131774.3,0,Residential,157005,157005,FL
459,1,-81.466309,0,0,29.7255,459,ST  JOHNS COUNTY,Wood,459,670595,0,847.36,0,Residential,459,459,FL
459,1,-81.466309,0,0,29.7255,459,ST  JOHNS COUNTY,Wood,459,194101,0,428.69,0,Residential,459,459,FL
1062,1,-81.466309,0,0,29.7255,1062,ST  JOHNS COUNTY,Wood,1062,167200,0,1602.72,0,Residential,1062,1062,FL
2304,1,-81.466309,0,0,29.7255,2304,ST  JOHNS COUNTY,Wood,2304,139064,0,2474.16,0,Residential,2304,2304,FL
1476,1,-81.466309,0,0,29.7255,1476,ST  JOHNS COUNTY,Wood,1476,846636,0,1935.04,0,Residential,1476,1476,FL
185040,1,-81.45291,0,0,30.57332,185040,NASSAU COUNTY,Wood,185040,310177,0,313975.87,0,Residential,185040,185040,FL
11095.92,3,-81.46114,0,0,30.67464,0,NASSAU COUNTY,Wood,11095.92,865452,0,11961.62,0,Residential,0,0,FL
8321.94,3,-81.46114,0,0,30.67464,0,NASSAU COUNTY,Wood,8321.94,783429,0,9646.79,0,Residential,0,0,FL
199726.56,1,-81.46052,0,0,30.67423,0,NASSAU COUNTY,Wood,199726.56,878060,0,277743.75,0,Residential,0,0,FL
118356.48,1,-81.46052,0,0,30.67423,0,NASSAU COUNTY,Wood,118356.48,935342,0,182860.76,0,Residential,0,0,FL
17568.54,1,-81.46052,0,0,30.67423,0,NASSAU COUNTY,Wood,17568.54,456376,0,29936.79,0,Residential,0,0,FL
147945.6,1,-81.46016,0,0,30.67453,0,NASSAU COUNTY,Wood,147945.6,363001,0,238338.59,0,Residential,147945.6,0,FL
724933.44,1,-81.44708,0,0,30.67513,0,NASSAU COUNTY,Masonry,724933.44,478864,0,767347.85,0,Residential,0,0,FL
8284485.6,1,-81.45801,0,0,30.64687,0,NASSAU COUNTY,Reinforced Masonry,8284485.6,600402,0,8073943.68,0,Commercial,0,0,FL
438498,1,-81.454407,0,0,30.650143,0,NASSAU COUNTY,Masonry,438498,483983,0,636264.11,0,Residential,0,438498,FL
99960.9,4,-81.4719,0,0,30.6202,0,NASSAU COUNTY,Wood,99960.9,991615,0,88679.21,0,Residential,0,0,FL
669692.78,1,-81.453979,0,0,30.576765,0,NASSAU COUNTY,Masonry,669692.78,644573,0,841130.78,0,Residential,0,0,FL
240539.39,1,-81.453979,0,0,30.576765,0,NASSAU COUNTY,Wood,240539.39,853278,0,412765.59,0,Residential,0,0,FL
331518.28,4,-81.4719,0,0,30.6202,0,NASSAU COUNTY,Wood,331518.28,100658,0,464703.76,0,Residential,0,0,FL
5919.86,1,-81.453979,0,0,30.576765,0,NASSAU COUNTY,Wood,5919.86,433115,0,9839.94,0,Residential,0,0,FL
77426.73,1,-81.46815,0,0,30.61988,0,NASSAU COUNTY,Wood,77426.73,760337,0,73196.13,0,Residential,0,0,FL
765763.8,1,-81.453979,0,0,30.576765,0,NASSAU COUNTY,Masonry,765763.8,884738,0,735948.78,0,Residential,0,0,FL
7532014.45,1,-81.462097,0,0,30.671095,0,NASSAU COUNTY,Reinforced Masonry,7532014.45,610102,0,10710000,0,Commercial,0,0,FL
963962.79,3,-81.462,0,0,30.67,0,NASSAU COUNTY,Masonry,963962.79,830823,0,977226.92,0,Residential,0,0,FL
121066.57,1,-81.546837,0,0,30.596535,0,NASSAU COUNTY,Wood,121066.57,618364,0,115414.7,0,Residential,0,0,FL
70964.84,1,-81.546837,0,0,30.596535,0,NASSAU COUNTY,Wood,70964.84,712563,0,72362.85,0,Residential,0,0,FL
755749,1,-81.45367,0,0,30.57326,0,NASSAU COUNTY,Masonry,755749,493030,0,658571.77,0,Residential,0,0,FL
2162232,1,-81.45105,0,0,30.65372,0,NASSAU COUNTY,Reinforced Masonry,2162232,188150,0,2520816.55,0,Commercial,2162232,0,FL
615141.68,1,-81.455553,0,0,30.63945,0,NASSAU COUNTY,Masonry,615141.68,589642,0,895926.17,0,Residential,0,0,FL
135000,3,-81.451576,0,4050,30.570326,0,NASSAU COUNTY,Wood,135000,846109,0,138827.52,0,Residential,135000,0,FL
161748,1,-81.44959,0,0,30.5708,0,NASSAU COUNTY,Wood,161748,399079,0,235301.93,0,Residential,161748,0,FL
164484,1,-81.44959,0,0,30.5708,0,NASSAU COUNTY,Wood,164484,680135,0,194814.85,0,Residential,164484,0,FL
170532,1,-81.448578,0,0,30.571087,0,NASSAU COUNTY,Wood,170532,621379,0,178465.15,0,Residential,170532,0,FL
181980,1,-81.448212,0,5459.4,30.570854,0,NASSAU COUNTY,Wood,181980,606710,0,181216.05,0,Residential,181980,0,FL
181980,1,-81.448433,0,5459.4,30.571154,0,NASSAU COUNTY,Wood,181980,443319,0,151151.13,0,Residential,181980,0,FL
186012,1,-81.44959,0,0,30.5708,0,NASSAU COUNTY,Wood,186012,228591,0,176389.97,0,Residential,186012,0,FL
192348,1,-81.450188,0,0,30.571323,0,NASSAU COUNTY,Wood,192348,721610,0,210005.55,0,Residential,192348,0,FL
197604,1,-81.448067,0,0,30.570711,0,NASSAU COUNTY,Wood,197604,507395,0,203450.71,0,Residential,197604,0,FL
198468,1,-81.449326,0,0,30.571777,0,NASSAU COUNTY,Wood,198468,213399,0,202538.58,0,Residential,198468,0,FL
198612,1,-81.45134,0,0,30.5716,0,NASSAU COUNTY,Wood,198612,579400,0,226675.88,0,Residential,198612,0,FL
200052,1,-81.44838,0,0,30.57098,0,NASSAU COUNTY,Wood,200052,509951,0,335395.98,0,Residential,200052,0,FL
201276,1,-81.450577,0,0,30.571613,0,NASSAU COUNTY,Wood,201276,930798,0,216909.11,0,Residential,201276,0,FL
207324,1,-81.44959,0,0,30.5708,0,NASSAU COUNTY,Wood,207324,729247,0,252344.61,0,Residential,207324,0,FL
208836,1,-81.44959,0,0,30.5708,0,NASSAU COUNTY,Wood,208836,288344,0,310058.81,0,Residential,208836,0,FL
212436,1,-81.450279,0,0,30.57164,0,NASSAU COUNTY,Wood,212436,275351,0,225030.91,0,Residential,212436,0,FL
218052,1,-81.45015,0,0,30.571306,0,NASSAU COUNTY,Wood,218052,976690,0,332681.94,0,Residential,218052,0,FL
218412,1,-81.450661,0,0,30.571608,0,NASSAU COUNTY,Wood,218412,507111,0,222125,0,Residential,218412,0,FL
221076,1,-81.450615,0,0,30.571609,0,NASSAU COUNTY,Wood,221076,547458,0,277280.37,0,Residential,221076,0,FL
226764,1,-81.450089,0,0,30.571665,0,NASSAU COUNTY,Wood,226764,827732,0,303833.37,0,Residential,226764,0,FL
237132,1,-81.450531,0,0,30.571615,0,NASSAU COUNTY,Wood,237132,229489,0,282225.02,0,Residential,237132,0,FL
239652,1,-81.448822,0,0,30.571812,0,NASSAU COUNTY,Wood,239652,175251,0,178583.88,0,Residential,239652,0,FL
245052,1,-81.450874,0,0,30.571596,0,NASSAU COUNTY,Wood,245052,590043,0,241166.46,0,Residential,245052,0,FL
245052,1,-81.44959,0,0,30.5708,0,NASSAU COUNTY,Wood,245052,476037,0,306551.23,0,Residential,245052,0,FL
257868,1,-81.448174,0,0,30.57086,0,NASSAU COUNTY,Wood,257868,674960,0,338372.33,0,Residential,257868,0,FL
6381518.4,3,-81.451576,0,0,30.570326,0,NASSAU COUNTY,Reinforced Masonry,6381518.4,743790,0,8757880.98,0,Commercial,6381518.4,0,FL
15390000,1,-81.451309,0,461349,30.570221,0,NASSAU COUNTY,Reinforced Concrete,15390000,817283,0,11790000,0,Commercial,15390000,0,FL
